iter	Passed	Remaining
573	21862	16225
574	21900	16187
575	21938	16149
576	21971	16107
577	22002	16063
578	22035	16022
579	22080	15989
580	22120	15952
581	22163	15918
582	22206	15883
583	22253	15851
584	22296	15817
585	22335	15779
586	22374	15742
587	22405	15699
588	22435	15655
589	22466	15612
590	22496	15568
591	22528	15526
592	22558	15482
593	22588	15439
594	22620	15396
595	22652	15354
596	22683	15312
597	22713	15268
598	22742	15225
599	22770	15180
600	22798	15135
601	22829	15093
602	22860	15050
603	22890	15007
604	22922	14965
605	22952	14922
606	22982	14879
607	23018	14840
608	23050	14799
609	23086	14760
610	23120	14719
611	23151	14677
612	23184	14637
613	23218	14596
614	23253	14557
615	23282	14513
616	23314	14472
617	23342	14428
618	23370	14384
619	23397	14340
620	23427	14297
621	23468	14262
622	23500	14221
623	23529	14178
624	23559	14135
625	23590	14093
626	23619	14051
627	23660	14015
628	23700	13979
629	23730	13937
630	23761	13895
631	23791	13853
632	23823	13812
633	23858	13773
634	23889	13731
635	23937	13699
636	23973	13661
637	24007	13621
638	24038	13580
639	24070	13539
640	24100	13497
641	24129	13455
642	24159	13413
643	24188	13371
644	24220	13330
645	24252	13290
646	24281	13247
647	24314	13207
648	24344	13166
649	24374	13124
650	24403	13082
651	24435	13042
652	24468	13002
653	24498	12961
654	24531	12921
655	24563	12881
656	24595	12840
657	24628	12800
658	24657	12759
659	24687	12717
660	24717	12676
661	24747	12635
662	24776	12593
663	24806	12552
664	24833	12510
665	24863	12469
666	24891	12427
667	24919	12385
668	24945	12342
669	24972	12300
670	25005	12260
671	25034	12219
672	25066	12179
673	25094	12137
674	25127	12098
675	25158	12058
676	25186	12016
677	25214	11974
678	25242	11933
679	25270	11892
680	25298	11850
681	25328	11810
682	25357	11769
683	25388	11728
684	25416	11687
685	25447	11647
686	25475	11606
687	25504	11566
688	25533	11525
689	25563	11485
690	25593	11444
691	25622	11404
692	25653	11364
693	25681	11323
694	25709	11282
695	25735	11240
696	25762	11199
697	25788	11157
698	25816	11117
699	25844	11076
700	25874	11036
701	25903	10996
702	25931	10955
703	25961	10915
704	25988	10874
705	26018	10834
706	26048	10795
707	26077	10755
708	26105	10714
709	26131	10673
710	26160	10633
711	26192	10594
712	26224	10555
713	26253	10515
714	26274	10473
715	26301	10432
716	26332	10393
717	26362	10353
718	26393	10315
719	26423	10275
720	26453	10236
721	26482	10197
722	26510	10156
723	26540	10117
724	26571	10078
725	26598	10038
726	26629	9999
727	26661	9961
728	26691	9922
729	26719	9882
730	26747	9842
731	26776	9803
732	26807	9764
733	26835	9725
734	26862	9685
735	26893	9646
736	26920	9606
737	26946	9566
738	26976	9527
739	27004	9488
740	27033	9448
741	27061	9409
742	27092	9371
743	27122	9332
744	27153	9294
745	27180	9254
746	27211	9216
747	27240	9177
748	27271	9139
749	27302	9100
750	27331	9061
751	27360	9023
752	27389	8984
753	27418	8945
754	27445	8906
755	27473	8867
756	27501	8828
757	27529	8788
758	27557	8750
759	27587	8711
760	27617	8673
761	27644	8634
762	27671	8595
763	27700	8556
764	27730	8518
765	27754	8478
766	27781	8439
767	27809	8400
768	27838	8362
769	27866	8323
770	27890	8284
771	27918	8245
772	27945	8206
773	27975	8168
774	28003	8130
775	28030	8091
776	28059	8053
777	28085	8014
778	28111	7975
779	28139	7936
780	28165	7897
781	28192	7859
782	28221	7821
783	28250	7783
784	28279	7745
785	28306	7706
786	28335	7668
787	28363	7630
788	28391	7592
789	28418	7554
790	28443	7515
791	28471	7477
792	28499	7439
793	28528	7401
794	28554	7363
795	28583	7325
796	28612	7287
797	28642	7250
798	28671	7212
799	28702	7175
800	28725	7136
801	28747	7097
802	28769	7058
803	28792	7019
804	28817	6980
805	28845	6942
806	28870	6904
807	28896	6866
808	28924	6828
809	28949	6790
810	28976	6752
811	29001	6714
812	29028	6676
813	29056	6639
814	29081	6601
815	29107	6563
816	29134	6525
817	29165	6489
818	29197	6452
819	29226	6415
820	29255	6378
821	29282	6340
822	29311	6303
823	29338	6266
824	29365	6228
825	29393	6191
826	29419	6154
827	29448	6117
828	29476	6080
829	29502	6042
830	29533	6006
831	29560	5969
832	29590	5932
833	29616	5894
834	29643	5857
835	29667	5819
836	29695	5782
837	29722	5745
838	29749	5708
839	29778	5672
840	29808	5635
841	29838	5599
842	29864	5561
843	29894	5525
844	29924	5489
845	29952	5452
846	29980	5415
847	30008	5378
848	30037	5342
849	30064	5305
850	30093	5268
851	30121	5232
852	30151	5196
853	30176	5158
854	30203	5122
855	30231	5085
856	30257	5048
857	30285	5012
858	30311	4975
859	30339	4939
860	30369	4902
861	30397	4866
862	30426	4830
863	30453	4793
864	30483	4757
865	30512	4721
866	30544	4685
867	30574	4649
868	30603	4613
869	30632	4577
870	30661	4541
871	30690	4504
872	30719	4468
873	30746	4432
874	30771	4395
875	30799	4359
876	30826	4323
877	30854	4287
878	30880	4250
879	30906	4214
880	30934	4178
881	30962	4142
882	30991	4106
883	31017	4070
884	31045	4034
885	31071	3997
886	31096	3961
887	31122	3925
888	31149	3889
889	31177	3853
890	31206	3817
891	31235	3781
892	31264	3746
893	31291	3710
894	31319	3674
895	31348	3638
896	31374	3602
897	31399	3566
898	31426	3530
899	31455	3495
900	31482	3459
901	31508	3423
902	31535	3387
903	31561	3351
904	31589	3316
905	31614	3280
906	31642	3244
907	31670	3208
908	31697	3173
909	31722	3137
910	31749	3101
911	31778	3066
912	31806	3030
913	31835	2995
914	31865	2960
915	31895	2924
916	31922	2889
917	31951	2854
918	31978	2818
919	32006	2783
920	32031	2747
921	32058	2712
922	32086	2676
923	32117	2641
924	32146	2606
925	32173	2571
926	32203	2535
927	32231	2500
928	32261	2465
929	32289	2430
930	32320	2395
931	32348	2360
932	32376	2325
933	32405	2289
934	32436	2254
935	32463	2219
936	32491	2184
937	32522	2149
938	32551	2114
939	32583	2079
940	32610	2044
941	32637	2009
942	32659	1974
943	32689	1939
944	32721	1904
945	32745	1869
946	32772	1834
947	32801	1799
948	32830	1764
949	32857	1729
950	32882	1694
951	32911	1659
952	32938	1624
953	32963	1589
954	32992	1554
955	33019	1519
956	33047	1484
957	33077	1450
958	33106	1415
959	33134	1380
960	33162	1345
961	33189	1311
962	33217	1276
963	33246	1241
964	33274	1206
965	33302	1172
966	33326	1137
967	33354	1102
968	33380	1067
969	33406	1033
970	33433	998
971	33460	963
972	33488	929
973	33515	894
974	33544	860
975	33571	825
976	33599	790
977	33628	756
978	33653	721
979	33678	687
980	33706	652
981	33734	618
982	33761	583
983	33790	549
984	33818	515
985	33849	480
986	33878	446
987	33908	411
988	33935	377
989	33963	343
990	33992	308
991	34019	274
992	34046	240
993	34072	205
994	34100	171
995	34130	137
996	34160	102
997	34189	68
998	34215	34
999	34241	0
