iter	Passed	Remaining
703	15217	6398
704	15235	6375
705	15254	6352
706	15272	6329
707	15289	6305
708	15306	6282
709	15326	6260
710	15348	6238
711	15371	6217
712	15391	6195
713	15413	6174
714	15431	6151
715	15449	6128
716	15468	6105
717	15488	6083
718	15513	6062
719	15531	6040
720	15551	6017
721	15574	5997
722	15595	5974
723	15616	5953
724	15636	5931
725	15654	5908
726	15672	5885
727	15691	5862
728	15714	5841
729	15734	5819
730	15753	5797
731	15773	5774
732	15797	5754
733	15825	5735
734	15849	5714
735	15871	5692
736	15888	5670
737	15908	5647
738	15929	5626
739	15947	5603
740	15965	5580
741	15985	5558
742	16009	5537
743	16033	5517
744	16057	5496
745	16077	5474
746	16099	5452
747	16122	5431
748	16148	5411
749	16169	5389
750	16190	5368
751	16213	5346
752	16235	5325
753	16258	5304
754	16278	5282
755	16297	5260
756	16311	5236
757	16332	5214
758	16352	5192
759	16370	5169
760	16387	5146
761	16406	5124
762	16432	5104
763	16456	5083
764	16475	5061
765	16493	5038
766	16513	5016
767	16532	4994
768	16556	4973
769	16576	4951
770	16595	4929
771	16615	4907
772	16636	4885
773	16661	4864
774	16680	4842
775	16698	4820
776	16717	4797
777	16737	4776
778	16758	4754
779	16778	4732
780	16795	4709
781	16813	4687
782	16828	4663
783	16847	4641
784	16874	4621
785	16894	4599
786	16911	4577
787	16928	4554
788	16947	4532
789	16964	4509
790	16985	4488
791	17004	4465
792	17023	4443
793	17042	4421
794	17072	4402
795	17100	4382
796	17120	4360
797	17139	4338
798	17159	4316
799	17179	4294
800	17197	4272
801	17215	4250
802	17234	4228
803	17254	4206
804	17280	4185
805	17299	4163
806	17318	4141
807	17334	4119
808	17350	4096
809	17367	4073
810	17388	4052
811	17407	4030
812	17426	4008
813	17444	3986
814	17462	3963
815	17488	3943
816	17509	3922
817	17528	3899
818	17547	3878
819	17564	3855
820	17587	3834
821	17607	3812
822	17625	3790
823	17642	3768
824	17660	3746
825	17679	3724
826	17702	3703
827	17727	3682
828	17745	3660
829	17766	3638
830	17785	3617
831	17804	3595
832	17824	3573
833	17843	3551
834	17865	3530
835	17888	3509
836	17912	3488
837	17933	3466
838	17951	3444
839	17970	3422
840	17991	3401
841	18015	3380
842	18036	3359
843	18055	3337
844	18075	3315
845	18094	3293
846	18124	3273
847	18145	3252
848	18164	3230
849	18180	3208
850	18198	3186
851	18220	3164
852	18240	3143
853	18259	3121
854	18278	3099
855	18297	3078
856	18317	3056
857	18338	3035
858	18364	3014
859	18383	2992
860	18402	2970
861	18424	2949
862	18447	2928
863	18464	2906
864	18483	2884
865	18505	2863
866	18529	2842
867	18556	2821
868	18574	2800
869	18594	2778
870	18614	2756
871	18629	2734
872	18652	2713
873	18672	2691
874	18706	2672
875	18738	2652
876	18772	2632
877	18810	2613
878	18839	2593
879	18862	2572
880	18884	2550
881	18911	2530
882	18936	2509
883	18958	2487
884	18980	2466
885	19003	2445
886	19024	2423
887	19044	2402
888	19070	2381
889	19094	2359
890	19117	2338
891	19139	2317
892	19161	2295
893	19187	2274
894	19213	2254
895	19236	2232
896	19261	2211
897	19283	2190
898	19307	2169
899	19329	2147
900	19351	2126
901	19372	2104
902	19394	2083
903	19414	2061
904	19436	2040
905	19459	2019
906	19478	1997
907	19497	1975
908	19517	1953
909	19535	1932
910	19556	1910
911	19578	1889
912	19598	1867
913	19620	1846
914	19641	1824
915	19658	1802
916	19682	1781
917	19704	1760
918	19724	1738
919	19743	1716
920	19763	1695
921	19782	1673
922	19801	1651
923	19819	1630
924	19839	1608
925	19860	1587
926	19886	1566
927	19907	1544
928	19925	1522
929	19946	1501
930	19961	1479
931	19978	1457
932	19990	1435
933	20003	1413
934	20019	1391
935	20039	1370
936	20055	1348
937	20076	1327
938	20094	1305
939	20130	1284
940	20149	1263
941	20169	1241
942	20187	1220
943	20204	1198
944	20219	1176
945	20239	1155
946	20258	1133
947	20277	1112
948	20297	1090
949	20318	1069
950	20345	1048
951	20369	1027
952	20392	1005
953	20412	984
954	20434	962
955	20454	941
956	20475	920
957	20496	898
958	20517	877
959	20543	855
960	20563	834
961	20583	813
962	20601	791
963	20620	770
964	20641	748
965	20660	727
966	20679	705
967	20697	684
968	20717	662
969	20742	641
970	20765	620
971	20782	598
972	20799	577
973	20816	555
974	20835	534
975	20855	512
976	20872	491
977	20889	469
978	20906	448
979	20925	427
980	20946	405
981	20970	384
982	20990	363
